Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
,,,,,,,,,,,,,,,,,,,
1,Indian Institute of Technology Madras,2024,18.5,30,17.29,30,34.95,34.37,14,9.78,29.74,15,19.34,16.98,21.57,14.88,9.4,20,100
,,,,,,,,,,,,,,,,,,,
2,Indian Institute of Technology Delhi,2024,18.5,23.18,15.61,28.41,35,37.63,13,6.56,33.05,13.06,20.93,17.49,24.05,14.07,7.27,20,98.53
,,,,,,,,,,,,,,,,,,,
3,Indian Institute of Technology Bombay,2024,18.5,25.58,16.91,25.36,31.61,32.52,13,7.06,32,13.93,19.99,18.87,19.25,14.89,4.53,20,91.13
,,,,,,,,,,,,,,,,,,,
4,Indian Institute of Technology Kanpur,2024,18.33,28.72,19.45,27.76,28.49,28.87,10,6.72,36.13,15,21.84,16.08,19.94,12.94,7.74,20,84.19
,,,,,,,,,,,,,,,,,,,
5,Indian Institute of Technology Kharagpur,2024,19.76,21.5,14.79,22.17,30.68,34.86,10,3.75,24.3,13.99,20.87,20,21.87,11.93,4.02,20,80.26
,,,,,,,,,,,,,,,,,,,
6,Indian Institute of Technology Roorkee,2024,17.66,23.13,15.28,21.67,30.25,33.2,7,4.25,37.74,15,20.17,14.44,23.72,12.64,5.84,20,65.79
,,,,,,,,,,,,,,,,,,,
7,Indian Institute of Technology Guwahati,2024,18.32,24.57,13.71,20.22,29.8,29.68,3,5.58,32.2,14.94,21.63,15.71,24.79,11.94,2.84,20,55.38
,,,,,,,,,,,,,,,,,,,
8,Indian Institute of Technology Hyderabad,2024,12.41,30,19.49,26.83,25.51,23.82,3,5.18,33.08,15,20.79,9.01,17.52,12.57,5.6,20,65.31
,,,,,,,,,,,,,,,,,,,
9,National Institute of Technology Tiruchirappalli,2024,17.5,19.31,13.02,19.87,25.31,25.66,4.5,1.55,35,15,17.34,11.35,16.71,18.19,8.22,20,68.07
,,,,,,,,,,,,,,,,,,,
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,2024,16.28,18.79,13.13,18.06,24.33,27.64,6,2.19,36.48,14.98,20.43,12.9,17.96,10.7,9.23,20,60.05
,,,,,,,,,,,,,,,,,,,
11,Vellore Institute of Technology,2024,20,22.18,13.86,9.49,27.5,37.24,7,0.2,28.72,15,13.37,12.31,19.47,22.17,0.11,20,49.28
,,,,,,,,,,,,,,,,,,,
12,Jadavpur University,2024,18.5,27.77,17.37,14.6,27.28,27.04,2.5,2.66,33.89,15,15.2,12.46,5.07,18.53,5.29,20,41.13
,,,,,,,,,,,,,,,,,,,
13,S.R.M. Institute of Science and Technology,2024,18.04,30,16.92,13.16,27.61,31.83,9,0.26,30.37,13.92,10.03,10.29,20.88,24.88,1.1,20,17.57
,,,,,,,,,,,,,,,,,,,
14,Anna University,2024,15.94,23.77,13.24,12.99,28.56,31.78,9,1.97,24.72,13.53,11.74,13.43,0.74,24.5,3.43,20,65.97
,,,,,,,,,,,,,,,,,,,
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,2024,15.43,23.35,15.59,19.02,27.4,29.33,2.25,1.93,31.21,12.69,17.86,14.18,20.44,11.62,7.78,20,33.72
,,,,,,,,,,,,,,,,,,,
